產品區域碼,月份,品名,地區,均價,均量
0,1,椰子,台北二,11.34,1270.26
0,2,椰子,台北二,14.16,1320.04
0,3,椰子,台北二,13.91,1731.82
0,4,椰子,台北二,16.34,2428.21
0,5,椰子,台北二,16.26,3018.37
0,6,椰子,台北二,28.2,2429.69
0,7,椰子,台北二,20.65,2752.03
0,8,椰子,台北二,38.63,1755.92
0,9,椰子,台北二,29.02,1309.31
0,10,椰子,台北二,23.73,1016.54
0,11,椰子,台北二,14.82,1000.64
0,12,椰子,台北二,11.34,896.3
1,1,棗子,台北二,63.99,16434.19
1,2,棗子,台北二,42.85,29186.58
1,3,棗子,台北二,60.2,6187.65
1,4,棗子,台北二,68.93,306.55
1,11,棗子,台北二,57.47,313.38
1,12,棗子,台北二,78.91,3702.04
2,1,釋迦,台北二,71.02,1904.35
2,2,釋迦,台北二,84.04,1730.23
2,3,釋迦,台北二,100.43,1075.33
2,4,釋迦,台北二,139.36,449.13
2,5,釋迦,台北二,155.76,212.33
2,6,釋迦,台北二,151.67,163.33
2,7,釋迦,台北二,98.67,1437.56
2,8,釋迦,台北二,69.83,3472.89
2,9,釋迦,台北二,83.38,1308.14
2,10,釋迦,台北二,89.7,1095.08
2,11,釋迦,台北二,86.91,1173.32
2,12,釋迦,台北二,78.41,1722.63
3,1,草莓,台北二,274.07,919.04
3,2,草莓,台北二,278.18,2231.67
3,3,草莓,台北二,254.43,866.31
3,4,草莓,台北二,241.62,405.12
3,5,草莓,台北二,186.25,141.17
3,6,草莓,台北二,255.25,87.73
3,7,草莓,台北二,224.05,64.67
3,8,草莓,台北二,222.2,63.2
3,9,草莓,台北二,222.21,38.5
3,10,草莓,台北二,217.88,63.11
3,11,草莓,台北二,218.63,283.76
3,12,草莓,台北二,292.2,946.1
4,1,百香果,台北二,36.93,1379.02
4,2,百香果,台北二,52.39,462.3
4,3,百香果,台北二,82.91,171.24
4,4,百香果,台北二,109.41,260.58
4,5,百香果,台北二,92.28,970.84
4,6,百香果,台北二,67.08,1460.67
4,7,百香果,台北二,53.62,3352.02
4,8,百香果,台北二,57.65,4170.7
4,9,百香果,台北二,59.42,3846.81
4,10,百香果,台北二,60.21,3046.34
4,11,百香果,台北二,50.57,2349.94
4,12,百香果,台北二,39.53,1687.17
5,1,小番茄,台北二,51.3,4686.5
5,2,小番茄,台北二,45.4,4105.56
5,3,小番茄,台北二,56.61,4378.22
5,4,小番茄,台北二,55.73,3092.43
5,5,小番茄,台北二,75.24,1508.1
5,6,小番茄,台北二,102.14,841.78
5,7,小番茄,台北二,140.28,644.82
5,8,小番茄,台北二,115.43,618.92
5,9,小番茄,台北二,127.84,696.08
5,10,小番茄,台北二,134.3,789.03
5,11,小番茄,台北二,90.5,2391.13
5,12,小番茄,台北二,79.15,3381.35
6,1,火龍果,台北二,64.01,2315.58
6,2,火龍果,台北二,76.95,3078.74
6,3,火龍果,台北二,88.55,2182.0
6,4,火龍果,台北二,94.57,2866.41
6,5,火龍果,台北二,100.65,4169.71
6,6,火龍果,台北二,51.88,14178.57
6,7,火龍果,台北二,35.46,15100.69
6,8,火龍果,台北二,35.56,18814.5
6,9,火龍果,台北二,42.3,12307.23
6,10,火龍果,台北二,36.91,13163.17
6,11,火龍果,台北二,32.65,12103.13
6,12,火龍果,台北二,56.19,4244.02
7,1,櫻桃,台北二,311.81,5994.96
7,2,櫻桃,台北二,244.11,1813.7
7,3,櫻桃,台北二,106.7,25.0
7,4,櫻桃,台北二,829.72,27.8
7,5,櫻桃,台北二,379.61,352.0
7,6,櫻桃,台北二,267.03,2238.54
7,7,櫻桃,台北二,176.4,5645.11
7,8,櫻桃,台北二,148.34,3787.04
7,9,櫻桃,台北二,118.22,1735.62
7,11,櫻桃,台北二,343.53,209.36
7,12,櫻桃,台北二,327.67,724.62
8,1,榴槤,台北二,228.95,232.5
8,2,榴槤,台北二,120.0,400.0
8,3,榴槤,台北二,114.25,603.64
8,4,榴槤,台北二,124.04,2493.53
8,5,榴槤,台北二,129.8,2361.43
8,6,榴槤,台北二,126.19,1829.71
8,7,榴槤,台北二,106.51,1447.08
8,8,榴槤,台北二,91.56,1640.0
8,9,榴槤,台北二,94.29,1374.58
8,10,榴槤,台北二,89.95,676.92
8,11,榴槤,台北二,136.48,157.78
8,12,榴槤,台北二,111.16,353.57
9,1,其他,台北二,109.47,111.65
9,2,其他,台北二,143.47,115.86
9,3,其他,台北二,93.79,142.1
9,4,其他,台北二,85.75,253.91
9,5,其他,台北二,84.41,167.75
9,6,其他,台北二,99.14,125.6
9,7,其他,台北二,115.32,365.04
9,8,其他,台北二,93.84,388.2
9,9,其他,台北二,80.28,253.4
9,10,其他,台北二,105.39,150.38
9,11,其他,台北二,137.9,96.92
9,12,其他,台北二,141.56,82.13
10,1,香蕉,台北二,38.85,3664.63
10,2,香蕉,台北二,39.31,4075.68
10,3,香蕉,台北二,39.82,4134.19
10,4,香蕉,台北二,39.49,4671.18
10,5,香蕉,台北二,38.6,4117.72
10,6,香蕉,台北二,36.0,4194.26
10,7,香蕉,台北二,29.55,3923.39
10,8,香蕉,台北二,31.89,3402.12
10,9,香蕉,台北二,33.46,3631.07
10,10,香蕉,台北二,36.9,4289.15
10,11,香蕉,台北二,36.99,4591.56
10,12,香蕉,台北二,39.62,3719.0
11,1,鳳梨,台北二,21.91,2343.58
11,2,鳳梨,台北二,21.47,9865.89
