品名,地區,判定係數
椰子,台北二,0.0
棗子,台北二,0.0
釋迦,台北二,0.0
草莓,台北二,0.0
百香果,台北二,0.0
小番茄,台北二,0.0
火龍果,台北二,0.0
櫻桃,台北二,0.0
榴槤,台北二,0.0
其他,台北二,0.0
香蕉,台北二,0.9909418881303746
鳳梨,台北二,0.0
椪柑,台北二,0.0
茂谷柑,台北二,0.0
紅柑,台北二,0.0
佛利檬,台北二,0.0
桶柑,台北二,0.0
甜橙,台北二,0.0
雜柑,台北二,0.0
黃秋葵,台北二,0.9701589285104213
花椰菜,台北二,0.0
胡瓜,台北二,0.9860163122983507
花胡瓜,台北二,0.0
冬瓜,台北二,0.9716951998068468
絲瓜,台北二,0.9662954358742785
苦瓜,台北二,0.0
扁蒲,台北二,0.9921429943032708
茄子,台北二,0.0
蕃茄,台北二,0.0
甜椒,台北二,0.0
豌豆,台北二,0.0
菜豆,台北二,0.0
敏豆,台北二,0.0
萊豆,台北二,0.0
毛豆,台北二,1.1102230246251565e-16
青花苔,台北二,0.0
南瓜,台北二,0.957003446709372
隼人瓜,台北二,0.0
石蓮花,台北二,0.9866139243732605
辣椒,台北二,0.8263173568950851
洛神花,台北二,0.0
虎豆,台北二,2.220446049250313e-16
玉米,台北二,0.9195236478271641
落花生,台北二,0.0
蛋黃果,台北二,0.8225560167217446
黃金果,台北二,0.0
酪梨,台北二,0.8331490210198302
奇異果,台北二,0.0
橄欖,台北二,0.0
波羅蜜,台北二,0.0
葡萄柚,台北二,0.9577902427425805
木瓜,台北二,0.0
龍眼,台北二,0.0
甘藍,台北二,0.9904299896603462
小白菜,台北二,0.0
包心白菜,台北二,0.9526157524273752
包心白,台北二,0.9412026884629624
青江白菜,台北二,0.0
皇宮菜,台北二,0.0
蕹菜,台北二,0.0
芹菜,台北二,0.0
菠菜,台北二,0.0
萵苣菜,台北二,1.1102230246251565e-16
芥菜,台北二,0.9796858931524897
芥藍菜,台北二,0.0
茼蒿,台北二,0.0
莧菜,台北二,0.972881720063875
油菜,台北二,0.8912396452943109
甘藷葉,台北二,0.0
芫荽,台北二,0.0
九層塔,台北二,0.0
羅勒,台北二,0.9753641095490587
紅鳳菜,台北二,0.9270390713010322
茴香,台北二,0.0
海菜,台北二,0.0
巴西利,台北二,0.0
蕨菜,台北二,0.0
藤川七,台北二,0.0
楊桃,台北二,0.6617001083349459
洋菇,台北二,0.0
草菇,台北二,0.9955931094717612
濕木耳,台北二,0.0
溼香菇,台北二,0.0
金絲菇,台北二,0.9718815409464685
蠔菇,台北二,0.0
巴西蘑菇,台北二,-2.220446049250313e-16
秀珍菇,台北二,0.9622151733169172
杏鮑菇,台北二,0.0
鴻禧菇,台北二,0.0
珊瑚菇,台北二,0.0
猴頭菇,台北二,0.0
柳松菇,台北二,0.9815904684517431
其他菇類,台北二,0.0
梨,台北二,0.0
鹹菜,台北二,-inf
蘿蔔乾,台北二,1.0
熟筍,台北二,0.0
其他蔬菜,台北二,0.9976232203881237
番石榴,台北二,0.0
蓮霧,台北二,0.0
芒果,台北二,0.0
葡萄,台北二,0.0
蘿蔔,台北二,0.0
胡蘿蔔,台北二,0.9724021963484512
馬鈴薯,台北二,0.9986406943877415
洋蔥,台北二,0.9968625171010738
青蔥,台北二,0.0
韭菜,台北二,0.0
大蒜,台北二,0.0
竹筍,台北二,0.0
萵苣莖,台北二,-2.220446049250313e-16
芋,台北二,0.9872170745907596
荸薺,台北二,0.0
豆薯,台北二,0.9539195163386123
牛蒡,台北二,0.9935958005249343
蓮藕,台北二,0.0
甘薯,台北二,0.9127247242366994
薑,台北二,0.0
茭白筍,台北二,0.0
菱角,台北二,0.9892303273980471
大心菜,台北二,0.0
薯蕷,台北二,0.0
蘆筍,台北二,0.0
球莖甘藍,台北二,0.9685786961129009
芽菜類,台北二,
金針筍,台北二,0.0
百合,台北二,0.9726138906117394
晚香玉筍,台北二,0.0
甜瓜,台北二,0.0
洋香瓜,台北二,0.0
蘋果,台北二,0.0
柿子,台北二,-2.220446049250313e-16
柿餅,台北二,0.0
椰子,台北一,0.0
棗子,台北一,0.0
釋迦,台北一,-2.220446049250313e-16
草莓,台北一,0.0
百香果,台北一,0.0
甘蔗,台北一,
小番茄,台北一,0.0
火龍果,台北一,0.0
櫻桃,台北一,1.1102230246251565e-16
石榴,台北一,0.0
榴槤,台北一,0.0
其他,台北一,0.0
香蕉,台北一,0.9909472322041509
鳳梨,台北一,0.9848897449870483
椪柑,台北一,0.0
茂谷柑,台北一,0.0
紅柑,台北一,0.0
佛利檬,台北一,-2.220446049250313e-16
桶柑,台北一,0.0
海梨,台北一,
甜橙,台北一,0.0
雜柑,台北一,0.8151749848230774
其他花類,台北一,0.0
黃秋葵,台北一,0.0
花椰菜,台北一,0.9505750255613661
胡瓜,台北一,0.0
花胡瓜,台北一,0.0
冬瓜,台北一,0.9545073879069903
絲瓜,台北一,0.9550395027520875
苦瓜,台北一,0.0
扁蒲,台北一,0.0
茄子,台北一,0.8875548843077229
蕃茄,台北一,0.9864385314025602
甜椒,台北一,0.9557033876793102
豌豆,台北一,0.0
菜豆,台北一,0.0
敏豆,台北一,0.0
萊豆,台北一,0.0
鵲豆,台北一,0.0
毛豆,台北一,1.1102230246251565e-16
青花苔,台北一,0.0
南瓜,台北一,0.0
隼人瓜,台北一,-2.220446049250313e-16
石蓮花,台北一,0.72000072000072
辣椒,台北一,0.0
虎豆,台北一,0.0
玉米,台北一,0.9759136818712028
落花生,台北一,0.0
酪梨,台北一,0.0
奇異果,台北一,0.9856372202182215
香櫞,台北一,0.0
橄欖,台北一,0.9664061591657019
葡萄柚,台北一,0.0
木瓜,台北一,0.9681924927086095
龍眼,台北一,0.9917536768759286
甘藍,台北一,0.0
小白菜,台北一,0.0
包心白菜,台北一,0.9555549740849687
包心白,台北一,0.0
青江白菜,台北一,0.0
