品名,地區,判定係數
椰子,台北二,0.8783991245845829
棗子,台北二,0.0
釋迦,台北二,0.0
草莓,台北二,0.0
百香果,台北二,0.0
小番茄,台北二,0.0
火龍果,台北二,0.892902091200074
櫻桃,台北二,2.220446049250313e-16
榴槤,台北二,0.0
其他,台北二,0.0
香蕉,台北二,0.0
鳳梨,台北二,0.9624438123039
椪柑,台北二,0.0
茂谷柑,台北二,2.220446049250313e-16
紅柑,台北二,0.0
佛利檬,台北二,0.0
桶柑,台北二,0.0
甜橙,台北二,0.9439771771426013
雜柑,台北二,0.8425309724702811
黃秋葵,台北二,0.0
花椰菜,台北二,0.0
胡瓜,台北二,0.9446118993745627
花胡瓜,台北二,0.944516262909138
冬瓜,台北二,0.8804090646195909
絲瓜,台北二,0.9869650463706005
苦瓜,台北二,0.0
扁蒲,台北二,0.937026472947678
茄子,台北二,0.0
蕃茄,台北二,0.9926707022542364
甜椒,台北二,0.0
豌豆,台北二,0.9959144066092596
菜豆,台北二,0.0
敏豆,台北二,0.0
萊豆,台北二,0.8144713475353713
毛豆,台北二,0.9845234471843681
青花苔,台北二,0.0
南瓜,台北二,0.0
隼人瓜,台北二,0.0
石蓮花,台北二,0.9647477317732074
辣椒,台北二,0.9488613187791207
洛神花,台北二,0.0
虎豆,台北二,2.220446049250313e-16
玉米,台北二,0.9094214600755023
落花生,台北二,0.0
蛋黃果,台北二,0.9454949944382647
黃金果,台北二,0.0
酪梨,台北二,0.9564511921085443
奇異果,台北二,0.9825975667842922
橄欖,台北二,0.0
波羅蜜,台北二,0.9423242612038539
葡萄柚,台北二,0.0
木瓜,台北二,0.9852415581458467
龍眼,台北二,0.0
甘藍,台北二,0.9167256531530723
小白菜,台北二,0.0
包心白菜,台北二,0.8726294099984366
包心白,台北二,0.0
青江白菜,台北二,0.9248499484720061
皇宮菜,台北二,0.8217482932668522
蕹菜,台北二,0.0
芹菜,台北二,0.9977550412756417
菠菜,台北二,0.0
萵苣菜,台北二,0.0
芥菜,台北二,0.9499046154171052
芥藍菜,台北二,0.8700368878969237
茼蒿,台北二,0.0
莧菜,台北二,0.9191845759196315
油菜,台北二,0.9783934228158221
甘藷葉,台北二,0.9820824290548533
芫荽,台北二,0.7872206572579489
九層塔,台北二,0.0
羅勒,台北二,0.0
紅鳳菜,台北二,0.0
茴香,台北二,0.8894736842105263
海菜,台北二,0.9917466200112566
巴西利,台北二,0.0
蕨菜,台北二,0.0
藤川七,台北二,0.0
楊桃,台北二,0.9680295562380231
洋菇,台北二,0.0
