品名,地區,判定係數
草莓,台北二,0.9746424539358702
香蕉,台北二,0.9812789205637104
花胡瓜,台北二,0.9775966269499509
絲瓜,台北二,0.981689185664354
蕃茄,台北二,0.9253280035451941
甜椒,台北二,0.9514415164369266
南瓜,台北二,0.9729967934327752
玉米,台北二,0.9679986960331108
落花生,台北二,0.9952095770084262
酪梨,台北二,0.9336298757238038
葡萄柚,台北二,0.9846764346764348
木瓜,台北二,0.9887889745394224
甘藍,台北二,0.9766006305296964
小白菜,台北二,0.9829942712203718
包心白菜,台北二,0.9816613653153712
包心白,台北二,0.928922109733918
芥菜,台北二,0.9173926424798
芥藍菜,台北二,0.9558670930388032
芫荽,台北二,0.9276050077334116
海菜,台北二,0.9958991121925128
草菇,台北二,0.9958097827850434
濕木耳,台北二,0.9703444601846538
金絲菇,台北二,0.9930775646371977
巴西蘑菇,台北二,0.9964183876895482
珊瑚菇,台北二,0.9376100747539198
蘿蔔乾,台北二,0.9992163676800898
其他蔬菜,台北二,0.9987550325538084
胡蘿蔔,台北二,0.9394851723618848
馬鈴薯,台北二,0.9975841112099773
洋蔥,台北二,0.9969223496774996
芋,台北二,0.9865547925194328
荸薺,台北二,0.9998378808959364
豆薯,台北二,0.9677929449217992
牛蒡,台北二,0.995814198724283
薯蕷,台北二,0.9932233107095364
球莖甘藍,台北二,0.991040928134064
百合,台北二,0.9613027253363036
椰子,台北一,0.939908496790794
釋迦,台北一,0.9688510819646678
其他,台北一,0.997911203894404
香蕉,台北一,0.9863059732541389
鳳梨,台北一,0.9946037799254568
甜橙,台北一,0.9778971266194592
絲瓜,台北一,0.9609030626740525
扁蒲,台北一,0.965375040222196
甜椒,台北一,0.9469557143191148
敏豆,台北一,0.9612030360648386
毛豆,台北一,0.9747634633121979
石蓮花,台北一,0.9048911328775244
玉米,台北一,0.9873102304468572
落花生,台北一,0.9896693049639356
奇異果,台北一,0.9945243046720056
香櫞,台北一,0.9132610561469106
橄欖,台北一,0.9474579011181464
葡萄柚,台北一,0.9481248219595088
木瓜,台北一,0.9279045591775444
龍眼,台北一,0.9285933568979656
甘藍,台北一,0.9439284485724114
小白菜,台北一,0.9139952185715684
皇宮菜,台北一,0.9659845599743628
芥藍菜,台北一,0.9915269905999872
莧菜,台北一,0.9564448885401484
油菜,台北一,0.9721291108975412
九層塔,台北一,0.9573280401475124
茴香,台北一,0.9457652039348634
海菜,台北一,0.9912627388782786
蕨菜,台北一,0.950010809624368
楊桃,台北一,0.982991997081119
草菇,台北一,0.9967479134327298
濕木耳,台北一,0.9734934312748365
金絲菇,台北一,0.9784871782077509
秀珍菇,台北一,0.9440908980079488
杏鮑菇,台北一,0.9921365795874236
鴻禧菇,台北一,0.977150727023067
珊瑚菇,台北一,0.9586464986360445
猴頭菇,台北一,0.9641566011611252
其他菇類,台北一,0.9070521595255554
梨,台北一,0.9017424154709044
雪裡紅,台北一,0.9524346208854254
其他蔬菜,台北一,0.999787424320632
蘿蔔乾,台北一,0.9996694215237176
醃瓜,台北一,0.9996807969868836
熟筍,台北一,0.9866326602596476
桶筍,台北一,0.9879635047447328
蘿蔔,台北一,0.9524175232044736
胡蘿蔔,台北一,0.9908635425876804
馬鈴薯,台北一,0.9990958408679927
韭菜,台北一,0.9916554808196059
萵苣莖,台北一,0.9910147991543341
芋,台北一,0.9830414812945308
牛蒡,台北一,0.9997824739667879
蓮藕,台北一,0.9981097959586914
甘薯,台北一,0.9760956331041276
菱角,台北一,0.9935304742049093
薯蕷,台北一,0.9861180492857372
金針筍,台北一,0.9939021507645228
洋香瓜,台北一,0.9896469733927974
甘蔗,板橋區,0.9677244521247348
香蕉,板橋區,0.9980324516537002
鳳梨,板橋區,0.9214119625983278
黃秋葵,板橋區,0.9594826431222672
苦瓜,板橋區,0.9721383945259986
扁蒲,板橋區,0.9841741108020412
茄子,板橋區,0.9571626301662556
甜椒,板橋區,0.979341621200552
豌豆,板橋區,0.9938742323252782
玉米,板橋區,0.9800623397701912
落花生,板橋區,0.9980281963039508
木瓜,板橋區,0.9452535201586928
甘藍,板橋區,0.9232744720372086
包心白菜,板橋區,0.9830890569371896
皇宮菜,板橋區,0.99397864768399
油菜,板橋區,0.9718314114536534
甘藷葉,板橋區,0.9628703384308764
越瓜,台北二,0.9808663438157308
栗子,台北一,0.9841837752261814
黑甜仔菜,台北一,0.9485873780201984
金針花,台北二,0.9300613426777976
金針花,台北一,0.9666876444964484
半天筍,台北一,0.9969449295516688
波羅蜜,台北一,0.9287418162726876
珍珠菜,台北一,0.9443621277983824
茴香,板橋區,0.981227556941064
海菜,板橋區,0.9991010634166012
