品名,地區,判定係數
鳳梨,台北二,0.9624438123039
甜橙,台北二,0.9439771771426012
胡瓜,台北二,0.9446118993745628
花胡瓜,台北二,0.9445162629091379
絲瓜,台北二,0.9869650463706005
扁蒲,台北二,0.9370264729476779
蕃茄,台北二,0.9926707022542364
豌豆,台北二,0.9959144066092596
毛豆,台北二,0.984523447184368
石蓮花,台北二,0.9647477317732074
辣椒,台北二,0.9488613187791208
玉米,台北二,0.9094214600755024
蛋黃果,台北二,0.9454949944382648
酪梨,台北二,0.9564511921085443
奇異果,台北二,0.9825975667842922
波羅蜜,台北二,0.942324261203854
木瓜,台北二,0.9852415581458468
甘藍,台北二,0.9167256531530724
青江白菜,台北二,0.924849948472006
芹菜,台北二,0.9977550412756416
芥菜,台北二,0.9499046154171052
莧菜,台北二,0.9191845759196317
油菜,台北二,0.978393422815822
甘藷葉,台北二,0.9820824290548532
海菜,台北二,0.9917466200112566
楊桃,台北二,0.9680295562380232
金絲菇,台北二,0.9720322982364521
巴西蘑菇,台北二,0.9987756539267912
秀珍菇,台北二,0.9971128243992072
鴻禧菇,台北二,0.9159457452839924
猴頭菇,台北二,0.9209206123276694
柳松菇,台北二,0.9845324337575456
梨,台北二,0.9546843353356524
蘿蔔乾,台北二,0.9980008686221936
蓮霧,台北二,0.9009574242974244
蘿蔔,台北二,0.9838791000640476
胡蘿蔔,台北二,0.9789922648738524
馬鈴薯,台北二,0.9934292212590656
芋,台北二,0.9740360312943744
荸薺,台北二,0.9998927009851636
豆薯,台北二,0.985052316890882
甘薯,台北二,0.9647914533931892
薑,台北二,0.9326022671266634
蘆筍,台北二,0.9991535587330832
球莖甘藍,台北二,0.9503480278422274
百合,台北二,0.9873016303244352
釋迦,台北一,0.9842038242165578
草莓,台北一,0.985055138590015
其他,台北一,0.9819211551596658
香蕉,台北一,0.9951952637787056
鳳梨,台北一,0.98492733574837
黃秋葵,台北一,0.928944435467584
胡瓜,台北一,0.9393729824196024
冬瓜,台北一,0.9415139909310472
絲瓜,台北一,0.9014373900872124
苦瓜,台北一,0.9579290864910271
甜椒,台北一,0.989585315606454
石蓮花,台北一,0.9701164034223432
虎豆,台北一,0.9156663419404636
玉米,台北一,0.9575547699401228
落花生,台北一,0.9914785515793524
橄欖,台北一,0.9839800337037906
木瓜,台北一,0.983542287426368
龍眼,台北一,0.9343046836489198
小白菜,台北一,0.9809259769867584
包心白,台北一,0.9743317800559179
青江白菜,台北一,0.9420062006640428
芥菜,台北一,0.9605547345686031
莧菜,台北一,0.9236575419601808
油菜,台北一,0.9366881866851472
九層塔,台北一,0.9499301956984124
茴香,台北一,0.9795970174724188
海菜,台北一,0.9930099707790664
菾菜,台北一,0.9666807491902548
蕨菜,台北一,0.9652944429144772
楊桃,台北一,0.9160132352780392
草菇,台北一,0.9985451484554874
溼香菇,台北一,0.9960832533445124
蠔菇,台北一,0.9871675795331254
杏鮑菇,台北一,0.9953394767817568
珊瑚菇,台北一,0.925618823637782
梨,台北一,0.9395788257580694
雪裡紅,台北一,0.9651832679301996
其他蔬菜,台北一,0.9994164843304372
蘿蔔乾,台北一,0.9997506186148856
醃瓜,台北一,0.99878939365003
熟筍,台北一,0.9852143330915384
桶筍,台北一,0.9889426824095052
胡蘿蔔,台北一,0.9623338436489999
韭菜,台北一,0.9780166589868886
大蒜,台北一,0.9515258047782224
萵苣莖,台北一,0.9209412311000008
芋,台北一,0.9856123671566976
牛蒡,台北一,0.9998100677012582
薑,台北一,0.9609941786724772
菱角,台北一,0.984055251553416
金針筍,台北一,0.9904425217542208
蘋果,台北一,0.9721839109674001
火龍果,板橋區,0.949954283195617
其他,板橋區,0.9739052919138564
香蕉,板橋區,0.9949292454407894
鳳梨,板橋區,0.9817418005017368
甜橙,板橋區,0.9378482337075548
花椰菜,板橋區,0.998207773092165
冬瓜,板橋區,0.9532263274281312
絲瓜,板橋區,0.9748705085027956
扁蒲,板橋區,0.9097401613687024
豌豆,板橋區,0.9481613561051055
毛豆,板橋區,0.9897493547421964
南瓜,板橋區,0.9696404732568722
玉米,板橋區,0.9552051533398684
落花生,板橋區,0.9971349259198944
蛋黃果,板橋區,0.9693745676253032
甘藍,板橋區,0.9415420826910492
包心白菜,板橋區,0.9427899927094124
皇宮菜,板橋區,0.9958936219719232
